LP.;Data;Typ instrumentu;Nazwa;ISIN;Kurs otwarcia;Kurs maksymalny;Kurs minimalny;Kurs zamkniecia;Zmiana;Wolumen obrotu;Liczba transakcji;Wartosc obrotu w tys. zl;Liczba otwartych pozycji;Wartosc otwartych pozycji w mln zl;Cena nominalna obligacji;Waluta
230;2013-12-20;1;WIG20;PL9999999987;2372,22;2408,84;2372,22;2408,84;1,29;0;0;1689825,35;0;0;0;   
231;2013-12-23;1;WIG20;PL9999999987;2431,43;2431,43;2414,19;2414,19;0,22;0;0;330517,92;0;0;0;   
232;2013-12-27;1;WIG20;PL9999999987;2426,17;2426,24;2400,84;2404,35;-0,41;0;0;361210,11;0;0;0;   
233;2013-12-30;1;WIG20;PL9999999987;2409,44;2409,44;2395,24;2400,98;-0,14;0;0;319809,34;0;0;0;   
234;2014-01-02;1;WIG20;PL9999999987;2426,09;2431,86;2411,83;2430,72;1,24;0;0;298050,26;0;0;0;   
235;2014-01-03;1;WIG20;PL9999999987;2417,08;2425,88;2404,28;2405,22;-1,05;0;0;333683,5;0;0;0;   
236;2014-01-07;1;WIG20;PL9999999987;2384,99;2385,49;2338,8;2349,6;-2,31;0;0;705685,27;0;0;0;   
237;2014-01-08;1;WIG20;PL9999999987;2350,34;2373,78;2331,66;2363,38;0,59;0;0;649988,52;0;0;0;   
238;2014-01-09;1;WIG20;PL9999999987;2361,12;2371,63;2325,54;2325,54;-1,6;0;0;805238,02;0;0;0;   
239;2014-01-10;1;WIG20;PL9999999987;2322,14;2327,89;2304,1;2327,89;0,1;0;0;1193001,46;0;0;0;   
240;2014-01-13;1;WIG20;PL9999999987;2338,79;2375,04;2337,12;2363,88;1,55;0;0;612986,92;0;0;0;   
241;2014-01-14;1;WIG20;PL9999999987;2353,62;2391,59;2346,53;2377,55;0,58;0;0;665572,46;0;0;0;   
242;2014-01-15;1;WIG20;PL9999999987;2400,92;2406,15;2387,02;2396,68;0,8;0;0;720565,87;0;0;0;   
243;2014-01-16;1;WIG20;PL9999999987;2401,24;2418,02;2385,58;2401,87;0,22;0;0;443993,18;0;0;0;   
244;2014-01-17;1;WIG20;PL9999999987;2398,39;2402,18;2373,06;2376,28;-1,07;0;0;634671,38;0;0;0;   
245;2014-01-20;1;WIG20;PL9999999987;2370,21;2382,16;2360,96;2379,22;0,12;0;0;364777,88;0;0;0;   
246;2014-01-21;1;WIG20;PL9999999987;2384,65;2421,26;2384,6;2411,26;1,35;0;0;571615,94;0;0;0;   
