Date;Open;High;Low;Close;Volume;Adj Close
2013-01-22;7741.88;7746.91;7634.26;7696.21;29306200;7696.21
2013-01-23;7702.92;7731.63;7684.84;7707.54;26663400;7707.54
2013-01-24;7700.53;7753.30;7661.96;7748.13;25213900;7748.13
2013-01-25;7746.78;7865.16;7743.19;7857.97;29292700;7857.97
2013-01-28;7859.83;7871.79;7831.72;7833.00;22722100;7833.00
2013-01-29;7841.96;7857.14;7800.12;7848.57;24837800;7848.57
2013-01-30;7855.68;7863.35;7775.03;7811.31;27707000;7811.31
2013-01-31;7800.45;7812.34;7765.20;7776.05;34102100;7776.05
2013-02-01;7792.59;7853.37;7784.97;7833.39;30495400;7833.39
2013-02-04;7822.54;7837.64;7637.68;7638.23;37356000;7638.23
2013-02-05;7643.54;7677.14;7622.30;7664.66;31721400;7664.66
2013-02-06;7665.88;7694.42;7537.29;7581.18;33199400;7581.18
2013-02-07;7581.37;7661.31;7565.32;7590.85;34190800;7590.85
2013-02-08;7607.57;7655.31;7577.34;7652.14;26912200;7652.14
2013-02-11;7627.72;7676.82;7597.61;7633.74;21851000;7633.74
2013-02-12;7619.12;7661.97;7593.66;7660.19;25135400;7660.19
2013-02-13;7678.48;7737.41;7650.29;7711.89;24106100;7711.89
2013-02-14;7697.89;7729.36;7607.48;7631.19;23482900;7631.19
2013-02-15;7636.26;7649.50;7588.57;7593.51;31446500;7593.51
2013-02-18;7591.08;7629.78;7568.16;7628.73;18147200;7628.73
2013-02-19;7614.10;7762.90;7611.60;7752.45;29184200;7752.45
2013-02-20;7747.21;7784.64;7709.48;7728.90;26456500;7728.90
2013-02-21;7681.61;7688.44;7561.84;7583.57;33491400;7583.57
2013-02-22;7619.81;7681.12;7607.26;7661.91;32936400;7661.91
2013-02-25;7731.80;7860.57;7726.40;7773.19;42329700;7773.19
2013-02-26;7682.24;7683.96;7589.32;7597.11;38841300;7597.11
2013-02-27;7641.84;7679.44;7565.78;7675.83;27156000;7675.83
2013-02-28;7712.20;7753.39;7691.81;7741.70;30571400;7741.70
2013-03-01;7735.35;7767.67;7627.99;7708.16;30626000;7708.16
2013-03-04;7654.67;7708.88;7637.32;7691.68;21488000;7691.68
2013-03-05;7779.62;7883.60;7772.33;7870.31;37153700;7870.31
2013-03-06;7907.39;7977.64;7898.04;7919.33;32329800;7919.33
2013-03-07;7934.19;7956.26;7911.56;7939.77;29303300;7939.77
2013-03-08;7970.66;8015.07;7962.28;7986.47;32136300;7986.47
2013-03-11;7967.46;7989.21;7954.58;7984.29;20939200;7984.29
2013-03-12;7970.83;7999.50;7933.94;7966.12;24719200;7966.12
2013-03-13;7964.77;7978.84;7942.37;7970.91;26484000;7970.91
2013-03-14;8013.25;8060.26;8011.22;8058.37;35605000;8058.37
2013-03-15;8074.03;8074.47;7996.95;8042.85;73586300;8042.85
2013-03-18;7924.04;8020.91;7901.94;8010.70;30118900;8010.70
2013-03-19;7980.54;8000.97;7919.45;7947.79;32832900;7947.79
2013-03-20;7995.59;8030.46;7972.21;8001.97;29283700;8001.97
2013-03-21;7989.59;7999.34;7887.67;7932.51;40179600;7932.51
2013-03-22;7917.64;7953.93;7876.36;7911.35;29941000;7911.35
2013-03-25;7988.27;8030.76;7847.97;7870.90;33109100;7870.90
2013-03-26;7889.15;7912.52;7859.27;7879.67;26027300;7879.67
2013-03-27;7905.96;7916.76;7750.38;7789.09;32340200;7789.09
2013-03-28;7791.14;7842.58;7778.02;7795.31;28716200;7795.31
2013-04-01;7795.31;7795.31;7795.31;7795.31;0;7795.31
2013-04-02;7806.12;7949.20;7805.92;7943.87;28501500;7943.87
2013-04-03;7926.88;7953.15;7869.81;7874.75;25890600;7874.75
2013-04-04;7902.86;7927.93;7803.89;7817.39;31696200;7817.39
2013-04-05;7820.69;7825.28;7632.42;7658.75;37990600;7658.75
2013-04-08;7669.04;7698.47;7645.56;7662.64;23183400;7662.64
2013-04-09;7704.35;7723.20;7608.04;7637.51;30206300;7637.51
2013-04-10;7664.16;7822.12;7660.20;7810.63;37203900;7810.63
2013-04-11;7799.31;7885.45;7786.75;7871.63;29329700;7871.63
2013-04-12;7831.87;7838.53;7726.13;7744.77;30660100;7744.77
2013-04-15;7740.54;7773.11;7651.58;7712.63;28441400;7712.63
2013-04-16;7680.78;7739.66;7639.43;7682.58;31666500;7682.58
2013-04-17;7719.56;7722.46;7473.07;7503.03;42609100;7503.03
2013-04-18;7519.67;7556.55;7436.78;7473.73;36436500;7473.73
2013-04-19;7490.11;7531.09;7418.36;7459.96;44887000;7459.96
2013-04-22;7516.06;7538.22;7437.52;7478.11;28068100;7478.11
2013-04-23;7477.03;7664.22;7442.36;7658.21;39356500;7658.21
2013-04-24;7656.76;7767.36;7656.22;7759.03;38930400;7759.03
2013-04-25;7766.61;7838.31;7741.98;7832.86;31032800;7832.86
2013-04-26;7835.59;7840.47;7767.61;7814.76;34180000;7814.76
2013-04-29;7834.02;7873.50;7823.24;7873.50;27734000;7873.50
2013-04-30;7928.42;7965.90;7893.08;7913.71;37228600;7913.71
2013-05-01;7913.71;7913.71;7913.71;7913.71;0;7913.71
2013-05-02;7905.35;8005.83;7896.99;7961.71;42109000;7961.71
2013-05-03;7972.28;8130.16;7957.36;8122.29;43753800;8122.29
2013-05-06;8119.22;8148.14;8103.27;8112.08;21149300;8112.08
2013-05-07;8125.82;8206.01;8116.67;8181.78;31655400;8181.78
2013-05-08;8176.88;8253.47;8173.35;8249.71;33926400;8249.71
2013-05-09;8232.50;8274.18;8224.52;8262.55;18046100;8262.55
2013-05-10;8278.45;8358.23;8252.37;8278.59;30872600;8278.59
2013-05-13;8281.95;8294.56;8217.15;8279.29;25451100;8279.29
2013-05-14;8304.50;8339.11;8235.97;8339.11;32308500;8339.11
2013-05-15;8333.61;8368.06;8299.83;8362.42;35153400;8362.42
2013-05-16;8348.54;8401.28;8324.23;8369.87;31195500;8369.87
2013-05-17;8356.26;8408.62;8327.47;8398.00;53166600;8398.00
2013-05-20;8434.97;8456.24;8401.74;8455.83;22031800;8455.83
2013-05-21;8446.78;8476.18;8397.54;8472.20;32320800;8472.20
2013-05-22;8467.56;8557.86;8434.83;8530.89;31644200;8530.89
2013-05-23;8410.06;8412.25;8281.11;8351.98;39979100;8351.98
2013-05-24;8390.16;8391.02;8262.64;8305.32;34952000;8305.32
2013-05-27;8346.60;8386.86;8338.32;8383.30;13781500;8383.30
2013-05-28;8432.46;8526.42;8424.40;8480.87;30803000;8480.87
